,branch_ins,variance,College,Branch
182,1014125,11278436.721674876,IIT Bhubaneswar,"Mechanical Engineering(4 Years, B. Tech)"
272,1015288,11338274.25,IIT Bhubaneswar,"Civil Engineering and  M. Tech. in Environmental Engineering (5 Years, B. Tech - M. Tech Dual Deg.)"
256,1144131,11430264.928571427,IIT (ISM) Dhanbad,"Mining Machinery Engineering(4 Years, B. Tech)"
233,1164106,11438145.64516129,IIT (BHU) Varanasi,"Ceramic Engineering (4 Years, B. Tech)"
259,1224109,11460886.25,IIT Jammu,"Civil Engineering (4 Years, B. Tech)"
108,1174117,11471916.24867725,IIT Guwahati,"Engineering Physics (4 Years, B. Tech)"
228,1015287,11735246.166666666,IIT Bhubaneswar,"Mechanical Engineering with M. Tech. in Manufacturing Engineering (5 Years, B. Tech - M. Tech Dual Deg.)"
218,1135101,11767003.857142856,IIT Roorkee,"Architecture(5 Years, Bachelor of Architecture)"
246,1165206,11831550.444444444,IIT (BHU) Varanasi,"Bioengineering with M. Tech in Biomedical Technology(5 Years, B. Tech - M. Tech Dual Deg.)"
199,1124125,11866948.02857143,IIT Patna,"Mechanical Engineering(4 Years, B. Tech)"
137,1154125,11908189.484848484,IIT Ropar,"Mechanical Engineering(4 Years, B. Tech)"
239,1165204,12060288.98888889,IIT (BHU) Varanasi,"Biochemical Engineering with M. Tech. in Biochemical Engineering and  Biotechnology(5 Years, B. Tech- M. Tech Dual Deg.)"
243,1084141,12114170.890476191,IIT Jodhpur,"Civil and  Infrastructure Engineering(4 Years, B. Tech)"
269,1165209,12169060.267857144,IIT (BHU) Varanasi,"Ceramic Engineering (5 Years, B. Tech - M. Tech Dual Deg.)"
211,1014109,12257443.992610838,IIT Bhubaneswar,"Civil Engineering (4 Years, B. Tech)"
262,1124127,12318657.830409357,IIT Patna,"Metallurgical and  Materials Engineering (4 Years, B. Tech)"
229,1184125,12461265.083003955,IIT Bhilai,"Mechanical Engineering(4 Years, B. Tech)"
4,1105602,12577504.666666664,IIT Madras,"Physics(5 Years, Bachelor of Science and  Master of Science ( Dual Degree))"
276,1165101,12781851.290909091,IIT (BHU) Varanasi,"Architecture(5 Years, Bachelor of Architecture)"
143,1064204,12841984.621052632,IIT Kharagpur,"Physics (4 Years, Bachelor of Science)"
181,1065243,13122722.769230768,IIT Kharagpur,"Metallurgical and  Materials Engineering (5 Years, B. Tech - M. Tech Dual Deg.)"
247,1124109,13210909.384615384,IIT Patna,"Civil Engineering (4 Years, B. Tech)"
267,1165291,13256708.61111111,IIT (BHU) Varanasi,"Pharmaceutical Engineering &  Technology(5 Years, B. Tech- M. Tech Dual Deg.)"
207,1034117,13348126.89090909,IIT Mandi,"Engineering Physics (4 Years, B. Tech)"
205,1065101,13482435.85,IIT Kharagpur,"Architecture(5 Years, Bachelor of Architecture)"
161,1065281,13765913.5,IIT Kharagpur,"Manufacturing Science and  Engineering with M. Tech. in Industrial and  Systems Engineering and  Management (5 Years, B. Tech - M. Tech Dual Deg.)"
203,1064210,13864578.95751634,IIT Kharagpur,"Exploration Geophysics(4 Years, Bachelor of Science)"
185,1094201,13881487.32631579,IIT Kanpur,"Chemistry(4 Years, Bachelor of Science)"
192,1094205,14115883.529411765,IIT Kanpur,"Earth Sciences(4 Years, Bachelor of Science)"
252,1084211,14433286.963636363,IIT Jodhpur,"Physics with Specialization(4 Years, Bachelor of Science)"
217,1144134,14964751.057142857,IIT (ISM) Dhanbad,"Petroleum Engineering(4 Years, B. Tech)"
158,1065215,15002675.032967033,IIT Kharagpur,"Civil Engineering with any ofthe listed specialization(5 Years, B. Tech- M. Tech Dual Deg.)"
263,1084212,15114875.61818182,IIT Jodhpur,"Chemistry with Specialization (4 Years, Bachelor of Science)"
208,1065247,15342267.90151515,IIT Kharagpur,"Mining Engineering (5 Years, B. Tech - M. Tech Dual Deg.)"
212,1224125,15728178.666666666,IIT Jammu,"Mechanical Engineering(4 Years, B. Tech)"
225,1065248,15815177.333333332,IIT Kharagpur,"Mining Safety Engineering (5 Years, B. Tech - M. Tech Dual Deg.)"
254,1165247,16047031.923076922,IIT (BHU) Varanasi,"Mining Engineering (5 Years, B. Tech - M. Tech Dual Deg.)"
237,1164130,16566211.5137881,IIT (BHU) Varanasi,"Mining Engineering (4 Years, B. Tech)"
90,1064209,16866134.447619043,IIT Kharagpur,"Applied Geology(4 Years, Bachelor of Science)"
240,1015285,16889173.6,IIT Bhubaneswar,"Mechanical Engineering and  M. Tech. in Thermal Science &  Engineering(5 Years, B. Tech - M. Tech Dual Deg.)"
195,1135303,18223649.11029412,IIT Roorkee,"Geophysical Technology(5 Years, Integrated Master of Technology)"
244,1124117,19346775.333333332,IIT Patna,"Engineering Physics (4 Years, B. Tech)"
165,1154117,21247885.163636364,IIT Ropar,"Engineering Physics (4 Years, B. Tech)"
234,1165290,21750911.75,IIT (BHU) Varanasi,"Industrial Chemistry (5 Years, B. Tech - M. Tech Dual Deg.)"
174,1184178,32062478.85714286,IIT Bhilai,"Mechatronics Engineering(4 Years, B. Tech)"
