,branch_ins,variance,College,Branch
145,1174107,5981545.260458839,IIT Guwahati,"Chemical Engineering (4 Years, B. Tech)"
196,1174194,6127481.590909091,IIT Guwahati,"Biosciences and  Bioengineering(4 Years, B. Tech)"
190,1135602,6228622.988888889,IIT Roorkee,"Physics(5 Years, Bachelor of Science and  Master of Science ( Dual Degree))"
209,1054128,6257367.231601732,IIT Indore,"Metallurgical Engineering and  Materials Science (4 Years, B. Tech)"
248,1154127,6290738.163636363,IIT Ropar,"Metallurgical and  Materials Engineering (4 Years, B. Tech)"
253,1214107,6296220.829166667,IIT Tirupati,"Chemical Engineering (4 Years, B. Tech)"
176,1165233,6308391.450549452,IIT (BHU) Varanasi,"Mechanical Engineering(5 Years, B. Tech - M. Tech Dual Deg.)"
128,1094109,6311125.597895967,IIT Kanpur,"Civil Engineering (4 Years, B. Tech)"
204,1184111,6343459.266233766,IIT Bhilai,"Electrical Engineering (4 Years, B. Tech)"
274,1145307,6358254.839285715,IIT (ISM) Dhanbad,"Applied Geophysics (5 Years, Integrated Master of Technology)"
193,1214125,6524081.547619048,IIT Tirupati,"Mechanical Engineering(4 Years, B. Tech)"
219,1114109,6602730.575163399,IIT Gandhinagar,"Civil Engineering (4 Years, B. Tech)"
149,1174198,6650964.861111112,IIT Guwahati,"Energy Engineering (4 Years, B. Tech)"
221,1014127,6722389.090909091,IIT Bhubaneswar,"Metallurgical and  Materials Engineering (4 Years, B. Tech)"
144,1054125,6732087.008403361,IIT Indore,"Mechanical Engineering(4 Years, B. Tech)"
200,1054109,6740161.37878788,IIT Indore,"Civil Engineering (4 Years, B. Tech)"
