,branch_ins,median,College,Branch
246,1165206,12729.0,IIT (BHU) Varanasi,"Bioengineering with M. Tech in Biomedical Technology(5 Years, B. Tech - M. Tech Dual Deg.)"
233,1164106,12745.0,IIT (BHU) Varanasi,"Ceramic Engineering (4 Years, B. Tech)"
222,1204125,12903.0,IIT Palakkad,"Mechanical Engineering(4 Years, B. Tech)"
248,1154127,12953.0,IIT Ropar,"Metallurgical and  Materials Engineering (4 Years, B. Tech)"
243,1084141,12957.0,IIT Jodhpur,"Civil and  Infrastructure Engineering(4 Years, B. Tech)"
211,1014109,13163.0,IIT Bhubaneswar,"Civil Engineering (4 Years, B. Tech)"
241,1234117,13168.5,IIT Dharwad,"Engineering Physics (4 Years, B. Tech)"
242,1165232,13169.0,IIT (BHU) Varanasi,"Materials Science and  Technology(5 Years, B. Tech - M. Tech Dual Deg.)"
247,1124109,13390.0,IIT Patna,"Civil Engineering (4 Years, B. Tech)"
223,1234125,13408.0,IIT Dharwad,"Mechanical Engineering(4 Years, B. Tech)"
234,1165290,13449.0,IIT (BHU) Varanasi,"Industrial Chemistry (5 Years, B. Tech - M. Tech Dual Deg.)"
249,1144189,13699.0,IIT (ISM) Dhanbad,"Mineral and  Metallurgical Engineering (4 Years, B. Tech)"
236,1164173,13711.0,IIT (BHU) Varanasi,"Pharmaceutical Engineering &  Technology (4 Years, B. Tech)"
239,1165204,13714.0,IIT (BHU) Varanasi,"Biochemical Engineering with M. Tech. in Biochemical Engineering and  Biotechnology(5 Years, B. Tech- M. Tech Dual Deg.)"
221,1014127,13738.0,IIT Bhubaneswar,"Metallurgical and  Materials Engineering (4 Years, B. Tech)"
255,103520D,13920.0,IIT Mandi,"Bio Engineering(5 Years, B. Tech- M. Tech Dual Deg.)"
253,1214107,13950.5,IIT Tirupati,"Chemical Engineering (4 Years, B. Tech)"
250,1084193,13996.0,IIT Jodhpur,"Materials Engineering(4 Years, B. Tech)"
202,1084143,14152.0,IIT Jodhpur,"Bio Engineering (4 Years, B. Tech)"
265,1015286,14194.0,IIT Bhubaneswar,"Civil Engineering and  M. Tech. in Structural Engineering(5 Years, B. Tech - M. Tech Dual Deg.)"
229,1184125,14251.0,IIT Bhilai,"Mechanical Engineering(4 Years, B. Tech)"
252,1084211,14299.0,IIT Jodhpur,"Physics with Specialization(4 Years, Bachelor of Science)"
254,1165247,14372.0,IIT (BHU) Varanasi,"Mining Engineering (5 Years, B. Tech - M. Tech Dual Deg.)"
257,1144119,14411.0,IIT (ISM) Dhanbad,"Environmental Engineering (4 Years, B. Tech)"
261,1015243,14532.0,IIT Bhubaneswar,"Metallurgical and  Materials Engineering (5 Years, B. Tech - M. Tech Dual Deg.)"
251,1144130,14556.0,IIT (ISM) Dhanbad,"Mining Engineering (4 Years, B. Tech)"
262,1124127,14646.0,IIT Patna,"Metallurgical and  Materials Engineering (4 Years, B. Tech)"
