,College,Branch,Category,Gender,Opening_Rank,Closing_Rank,branch_ins
47,IIT Bhubaneswar,"Computer Science and  Engineering(5 Years, B. Tech - M. Tech Dual Deg.)",OBC-NCL,N,1156,1240,1015216
48,IIT Bhubaneswar,"Computer Science and  Engineering(5 Years, B. Tech - M. Tech Dual Deg.)",OBC-NCL,F,2716,2716,1015216
49,IIT Bhubaneswar,"Computer Science and  Engineering(5 Years, B. Tech - M. Tech Dual Deg.)",SC,N,545,545,1015216
50,IIT Bhubaneswar,"Computer Science and  Engineering(5 Years, B. Tech - M. Tech Dual Deg.)",ST,N,371,371,1015216
51,IIT Bhubaneswar,"Electrical Engineering and  M. Tech Power Electronics and  Drives(5 Years, B. Tech - M. Tech Dual Deg.)",OPEN,N,6646,7729,1015255
52,IIT Bhubaneswar,"Electrical Engineering and  M. Tech Power Electronics and  Drives(5 Years, B. Tech - M. Tech Dual Deg.)",OPEN,F,11359,11359,1015255
53,IIT Bhubaneswar,"Electrical Engineering and  M. Tech Power Electronics and  Drives(5 Years, B. Tech - M. Tech Dual Deg.)",EWS,N,1264,1264,1015255
54,IIT Bhubaneswar,"Electrical Engineering and  M. Tech Power Electronics and  Drives(5 Years, B. Tech - M. Tech Dual Deg.)",OBC-NCL,N,2653,2827,1015255
55,IIT Bhubaneswar,"Electrical Engineering and  M. Tech Power Electronics and  Drives(5 Years, B. Tech - M. Tech Dual Deg.)",SC,N,1190,1190,1015255
56,IIT Bhubaneswar,"Electrical Engineering and  M. Tech Power Electronics and  Drives(5 Years, B. Tech - M. Tech Dual Deg.)",SC,F,2607,2607,1015255
57,IIT Bhubaneswar,"Electrical Engineering and  M. Tech Power Electronics and  Drives(5 Years, B. Tech - M. Tech Dual Deg.)",ST,N,854,854,1015255
58,IIT Bhubaneswar,"Electrical Engineering (4 Years, B. Tech)",OPEN,N,5136,6631,1014111
59,IIT Bhubaneswar,"Electrical Engineering (4 Years, B. Tech)",OPEN,F,8389,10729,1014111
60,IIT Bhubaneswar,"Electrical Engineering (4 Years, B. Tech)",EWS,N,829,1140,1014111
61,IIT Bhubaneswar,"Electrical Engineering (4 Years, B. Tech)",EWS,F,1663,1663,1014111
62,IIT Bhubaneswar,"Electrical Engineering (4 Years, B. Tech)",OBC-NCL,N,1884,2490,1014111
63,IIT Bhubaneswar,"Electrical Engineering (4 Years, B. Tech)",OBC-NCL,F,4126,4801,1014111
64,IIT Bhubaneswar,"Electrical Engineering (4 Years, B. Tech)",SC,N,1155,1440,1014111
65,IIT Bhubaneswar,"Electrical Engineering (4 Years, B. Tech)",SC,F,1877,1941,1014111
66,IIT Bhubaneswar,"Electrical Engineering (4 Years, B. Tech)",ST,N,636,661,1014111
67,IIT Bhubaneswar,"Electrical Engineering (4 Years, B. Tech)",ST,F,1052,1052,1014111
68,IIT Bhubaneswar,"Electronics and  Communication Engineering (4 Years, B. Tech)",OPEN,N,3159,4571,1014114
69,IIT Bhubaneswar,"Electronics and  Communication Engineering (4 Years, B. Tech)",OPEN,F,5949,6884,1014114
70,IIT Bhubaneswar,"Electronics and  Communication Engineering (4 Years, B. Tech)",OPEN (PwD),N,178,178,1014114
71,IIT Bhubaneswar,"Electronics and  Communication Engineering (4 Years, B. Tech)",EWS,N,614,662,1014114
72,IIT Bhubaneswar,"Electronics and  Communication Engineering (4 Years, B. Tech)",EWS,F,959,959,1014114
73,IIT Bhubaneswar,"Electronics and  Communication Engineering (4 Years, B. Tech)",OBC-NCL,N,1318,1701,1014114
74,IIT Bhubaneswar,"Electronics and  Communication Engineering (4 Years, B. Tech)",OBC-NCL,F,2826,3246,1014114
75,IIT Bhubaneswar,"Electronics and  Communication Engineering (4 Years, B. Tech)",SC,N,876,1090,1014114
76,IIT Bhubaneswar,"Electronics and  Communication Engineering (4 Years, B. Tech)",SC,F,1264,1386,1014114
77,IIT Bhubaneswar,"Electronics and  Communication Engineering (4 Years, B. Tech)",ST,N,338,390,1014114
78,IIT Bhubaneswar,"Electronics and  Communication Engineering (4 Years, B. Tech)",ST,F,853,853,1014114
79,IIT Bhubaneswar,"Mechanical Engineering(4 Years, B. Tech)",OPEN,N,7249,9074,1014125
80,IIT Bhubaneswar,"Mechanical Engineering(4 Years, B. Tech)",OPEN,F,14779,17941,1014125
81,IIT Bhubaneswar,"Mechanical Engineering(4 Years, B. Tech)",EWS,N,1314,1492,1014125
82,IIT Bhubaneswar,"Mechanical Engineering(4 Years, B. Tech)",EWS,F,2678,2678,1014125
83,IIT Bhubaneswar,"Mechanical Engineering(4 Years, B. Tech)",OBC-NCL,N,2925,3474,1014125
84,IIT Bhubaneswar,"Mechanical Engineering(4 Years, B. Tech)",OBC-NCL,F,5713,6902,1014125
85,IIT Bhubaneswar,"Mechanical Engineering(4 Years, B. Tech)",SC,N,1497,2013,1014125
86,IIT Bhubaneswar,"Mechanical Engineering(4 Years, B. Tech)",SC,F,2505,2505,1014125
87,IIT Bhubaneswar,"Mechanical Engineering(4 Years, B. Tech)",ST,N,532,978,1014125
88,IIT Bhubaneswar,"Mechanical Engineering(4 Years, B. Tech)",ST,F,1079,1079,1014125
89,IIT Bhubaneswar,"Mechanical Engineering and  M. Tech. in Mechanical System Design (5 Years, B. Tech - M. Tech Dual Deg.)",OPEN,N,10490,11159,1015284
90,IIT Bhubaneswar,"Mechanical Engineering and  M. Tech. in Mechanical System Design (5 Years, B. Tech - M. Tech Dual Deg.)",OPEN,F,16897,16897,1015284
91,IIT Bhubaneswar,"Mechanical Engineering and  M. Tech. in Mechanical System Design (5 Years, B. Tech - M. Tech Dual Deg.)",EWS,N,1684,1684,1015284
92,IIT Bhubaneswar,"Mechanical Engineering and  M. Tech. in Mechanical System Design (5 Years, B. Tech - M. Tech Dual Deg.)",OBC-NCL,N,3544,4012,1015284
93,IIT Bhubaneswar,"Mechanical Engineering and  M. Tech. in Mechanical System Design (5 Years, B. Tech - M. Tech Dual Deg.)",OBC-NCL,F,8336,8336,1015284
